,fsa,area(km2)
0,H1A,15.2
1,H1B,13.4
2,H1C,11.2
3,H1E,11.1
4,H1G,7.9
5,H1H,4.572
6,H1J,8.4
7,H1K,6.2
8,H1L,7.5
9,H1M,4.938
10,H1N,8.7
11,H1P,5.1
12,H1R,4.632
13,H1S,3.051
14,H1T,4.136
15,H1V,5.1
16,H1W,3.142
17,H1X,2.839
18,H1Y,2.642
19,H1Z,7.0
20,H2A,2.237
21,H2B,2.621
22,H2C,2.671
23,H2E,1.915
24,H2G,2.005
25,H2H,1.143
26,H2J,1.939
27,H2K,3.59
28,H2L,2.411
29,H2M,3.373
30,H2N,1.126
31,H2P,1.682
32,H2R,2.191
33,H2S,2.528
34,H2T,1.361
35,H2V,4.417
36,H2W,0.983
37,H2X,1.565
38,H2Y,0.51
39,H2Z,0.288
40,H3A,1.005
41,H3B,0.086546
42,H3C,4.852
43,H3E,3.796
44,H3G,0.959
45,H3H,3.739
46,H3J,1.098
47,H3K,4.443
48,H3L,3.836
49,H3M,2.601
50,H3N,1.666
51,H3P,2.736
52,H3R,2.687
53,H3S,2.845
54,H3T,1.574
55,H3V,1.793
56,H3W,2.997
57,H3X,3.46
58,H3Y,2.469
59,H3Z,1.611
60,H4A,3.032
61,H4B,3.095
62,H4C,3.892
63,H4E,4.583
64,H4G,2.785
65,H4H,3.128
66,H4J,2.838
67,H4K,4.426
68,H4L,6.0
69,H4M,2.295
70,H4N,5.3
71,H4P,5.1
72,H4R,28.9
73,H4S,1.144
74,H4T,
75,H4V,2.658
76,H4W,5.7
77,H4X,1.625
78,H4Y,
79,H4Z,
80,H5A,
81,H5B,
82,H8N,8.1
83,H8P,4.376
84,H8R,7.1
85,H8S,12.6
86,H8T,3.142
87,H8Y,5.8
88,H8Z,4.48
89,H9A,4.507
90,H9B,7.2
91,H9C,9.4
92,H9E,13.4
93,H9G,4.127
94,H9H,9.0
95,H9J,11.2
96,H9K,6.4
97,H9P,15.4
98,H9R,15.1
99,H9S,9.4
100,H9W,11.0
101,H9X,24.0
